samp_date,sample,month,season,year,block,tx,clip,order,genus,species,number
11/15/2016,3CW,November,,2016,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,3IRE,November,,2016,3,Wet,Clipped,Hymenoptera,Camponotus,sp 2,4
11/15/2016,3IRW,November,,2016,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,3ROE,November,,2016,3,Drought,Clipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,3ROW,November,,2016,3,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,4IRE,November,,2016,4,Wet,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,5CE,November,,2016,5,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,5CW,November,,2016,5,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,5IRE,November,,2016,5,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
11/15/2016,5IRW,November,,2016,5,Wet,Clipped,Hymenoptera,Camponotus,sp 3,3
11/15/2016,5ROE,November,,2016,5,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,5ROW,November,,2016,5,Drought,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,6CE,November,,2016,6,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,6CW,November,,2016,6,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,6IRW,November,,2016,6,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,3
11/15/2016,6ROW,November,,2016,6,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,7CE,November,,2016,7,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,7CW,November,,2016,7,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,7IRE,November,,2016,7,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,7IRW,November,,2016,7,Wet,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,7ROE,November,,2016,7,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
11/15/2016,7ROW,November,,2016,7,Drought,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,8CE,November,,2016,8,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,8CW,November,,2016,8,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,3
11/15/2016,8IRW,November,,2016,8,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
11/15/2016,8ROW,November,,2016,8,Drought,Clipped,Hymenoptera,Camponotus,sp 2,3
11/15/2016,9IRE,November,,2016,9,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,2
11/15/2016,9IRW,November,,2016,9,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,9IRW,November,,2016,9,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
11/15/2016,9IRW,November,,2016,9,Wet,Clipped,Hymenoptera,Camponotus,sp 3,1
6/15/2017,10CE,June,,2017,10,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
7/15/2017,10CE,July,,2017,10,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,2
9/15/2017,10CE,September,monsoon,2017,10,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,3
10/15/2017,10CE,October,monsoon,2017,10,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
10/15/2017,10CE,October,monsoon,2017,10,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,1
4/15/2017,10CW,April,,2017,10,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
6/15/2017,10IRE,June,,2017,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,2
9/15/2017,10IRE,September,monsoon,2017,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,4
10/15/2017,10IRE,October,monsoon,2017,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 1,1
10/15/2017,10IRE,October,monsoon,2017,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,6
10/15/2017,10IRE,October,monsoon,2017,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
11/15/2017,10IRE,November,,2017,10,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,1
6/15/2017,10IRW,June,,2017,10,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
9/15/2017,10IRW,September,monsoon,2017,10,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
10/15/2017,10IRW,October,monsoon,2017,10,Wet,Clipped,Hymenoptera,Camponotus,sp 2,3
12/15/2017,10IRW,December,,2017,10,Wet,Clipped,Hymenoptera,Camponotus,sp 2,3
4/15/2017,10ROE,April,,2017,10,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,1
6/15/2017,10ROE,June,,2017,10,Drought,Unclipped,Hymenoptera,Camponotus,sp 1,1
6/15/2017,10ROE,June,,2017,10,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,1
10/15/2017,10ROE,October,monsoon,2017,10,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,3
3/18/2017,10ROW,March,,2017,10,Drought,Clipped,Hymenoptera,Camponotus,,1
5/15/2017,10ROW,May,,2017,10,Drought,Clipped,Hymenoptera,Camponotus,sp 3,5
6/15/2017,10ROW,June,,2017,10,Drought,Clipped,Hymenoptera,Camponotus,sp 2,2
7/15/2017,10ROW,July,,2017,10,Drought,Clipped,Hymenoptera,Camponotus,sp 4,1
11/15/2017,10ROW,November,,2017,10,Drought,Clipped,Hymenoptera,Camponotus,sp 2,1
7/15/2017,1CE,July,,2017,1,Ambient,Clipped,Hymenoptera,Camponotus,sp 1,1
9/15/2017,1CE,September,monsoon,2017,1,Ambient,Clipped,Hymenoptera,Camponotus,sp 3,1
7/15/2017,1CW,July,,2017,1,Ambient,Unclipped,Hymenoptera,Camponotus,sp 4,3
8/15/2017,1CW,August,monsoon,2017,1,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,1
9/15/2017,1CW,September,monsoon,2017,1,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,4
10/15/2017,1CW,October,monsoon,2017,1,Ambient,Unclipped,Hymenoptera,Camponotus,sp 1,2
4/15/2017,1IRE,April,,2017,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 1,1
5/15/2017,1IRE,May,,2017,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 1,3
5/15/2017,1IRE,May,,2017,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 4,1
6/15/2017,1IRE,June,,2017,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,1
8/15/2017,1IRE,August,monsoon,2017,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 1,7
9/15/2017,1IRE,September,monsoon,2017,1,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,5
7/15/2017,1IRW,July,,2017,1,Wet,Clipped,Hymenoptera,Camponotus,sp 1,3
7/15/2017,1IRW,July,,2017,1,Wet,Clipped,Hymenoptera,Camponotus,sp 4,11
9/15/2017,1IRW,September,monsoon,2017,1,Wet,Clipped,Hymenoptera,Camponotus,sp 2,2
10/15/2017,1IRW,October,monsoon,2017,1,Wet,Clipped,Hymenoptera,Camponotus,sp 2,3
2/15/2017,1ROE,February,,2017,1,Drought,Unclipped,Hymenoptera,Camponotus,,1
5/15/2017,1ROE,May,,2017,1,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,3
7/15/2017,1ROE,July,,2017,1,Drought,Unclipped,Hymenoptera,Camponotus,sp 4,2
7/15/2017,1ROE,July,,2017,1,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
8/15/2017,1ROE,August,monsoon,2017,1,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
10/15/2017,1ROE,October,monsoon,2017,1,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,1
7/15/2017,1ROW,July,,2017,1,Drought,Clipped,Hymenoptera,Camponotus,sp 4,3
8/15/2017,1ROW,August,monsoon,2017,1,Drought,Clipped,Hymenoptera,Camponotus,sp 3,1
9/15/2017,1ROW,September,monsoon,2017,1,Drought,Clipped,Hymenoptera,Camponotus,sp 2,2
10/15/2017,1ROW,October,monsoon,2017,1,Drought,Clipped,Hymenoptera,Camponotus,sp 2,1
6/15/2017,2CE,June,,2017,2,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
8/15/2017,2CE,August,monsoon,2017,2,Ambient,Clipped,Hymenoptera,Camponotus,sp 1,1
9/15/2017,2CE,September,monsoon,2017,2,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,5
10/15/2017,2CE,October,monsoon,2017,2,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,5
4/15/2017,2CW,April,,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
6/15/2017,2CW,June,,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,3
8/15/2017,2CW,August,monsoon,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,2
10/15/2017,2CW,October,monsoon,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 1,1
10/15/2017,2CW,October,monsoon,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp2,7
11/15/2017,2CW,November,,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 1,1
12/15/2017,2CW,December,,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 1,1
12/15/2017,2CW,December,,2017,2,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
3/18/2017,2IRE,March,,2017,2,Wet,Clipped,Hymenoptera,Camponotus,,2
5/15/2017,2IRE,May,,2017,2,Wet,Clipped,Hymenoptera,Camponotus,sp 3,1
5/15/2017,2IRE,May,,2017,2,Wet,Clipped,Hymenoptera,Camponotus,sp 4,2
7/15/2017,2IRE,July,,2017,2,Wet,Clipped,Hymenoptera,Camponotus,sp 4,1
9/15/2017,2IRE,September,monsoon,2017,2,Wet,Clipped,Hymenoptera,Camponotus,sp 2,2
10/15/2017,2IRE,October,monsoon,2017,2,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
4/15/2017,2IRW,April,,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
5/15/2017,2IRW,May,,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
5/15/2017,2IRW,May,,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 4,2
7/15/2017,2IRW,July,,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 4,2
8/15/2017,2IRW,August,monsoon,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
9/15/2017,2IRW,September,monsoon,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,8
10/15/2017,2IRW,October,monsoon,2017,2,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,9
4/15/2017,2ROE,April,,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,2
5/15/2017,2ROE,May,,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 4,1
6/15/2017,2ROE,June,,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,1
8/15/2017,2ROE,August,monsoon,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 1,1
8/15/2017,2ROE,August,monsoon,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,2
9/15/2017,2ROE,September,monsoon,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,9
9/15/2017,2ROE,September,monsoon,2017,2,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
2/15/2017,2ROW,February,,2017,2,Drought,Clipped,Hymenoptera,Camponotus,,1
3/18/2017,2ROW,March,,2017,2,Drought,Clipped,Hymenoptera,Camponotus,,1
7/15/2017,2ROW,July,,2017,2,Drought,Clipped,Hymenoptera,Camponotus,sp 4,2
8/15/2017,2ROW,August,monsoon,2017,2,Drought,Clipped,Hymenoptera,Camponotus,sp 1,1
5/15/2017,3CE,May,,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 4,8
6/15/2017,3CE,June,,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 3,1
7/15/2017,3CE,July,,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 3,1
7/15/2017,3CE,July,,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 4,1
8/15/2017,3CE,August,monsoon,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 1,4
8/15/2017,3CE,August,monsoon,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 1,3
9/15/2017,3CE,September,monsoon,2017,3,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,3
4/15/2017,3CW,April,,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,4
5/15/2017,3CW,May,,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 4,6
6/15/2017,3CW,June,,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
7/15/2017,3CW,July,,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 4,4
8/15/2017,3CW,August,monsoon,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,4
10/15/2017,3CW,October,monsoon,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,2
12/15/2017,3CW,December,,2017,3,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,1
6/15/2017,3IRE,June,,2017,3,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
7/15/2017,3IRE,July,,2017,3,Wet,Clipped,Hymenoptera,Camponotus,sp 4,3
8/15/2017,3IRE,August,monsoon,2017,3,Wet,Clipped,Hymenoptera,Camponotus,sp 1,1
5/15/2017,3IRW,May,,2017,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 4,1
7/15/2017,3IRW,July,,2017,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
9/15/2017,3IRW,September,monsoon,2017,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,4
9/15/2017,3IRW,September,monsoon,2017,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
10/15/2017,3IRW,October,monsoon,2017,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,2
10/15/2017,3IRW,October,monsoon,2017,3,Wet,Unclipped,Hymenoptera,Camponotus,sp 3,1
6/15/2017,3ROE,June,,2017,3,Drought,Clipped,Hymenoptera,Camponotus,sp 3,1
7/15/2017,3ROE,July,,2017,3,Drought,Clipped,Hymenoptera,Camponotus,sp 4,6
4/15/2017,3ROW,April,,2017,3,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
5/15/2017,3ROW,May,,2017,3,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
5/15/2017,3ROW,May,,2017,3,Drought,Unclipped,Hymenoptera,Camponotus,sp 4,1
6/15/2017,3ROW,June,,2017,3,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,1
8/15/2017,3ROW,August,monsoon,2017,3,Drought,Unclipped,Hymenoptera,Camponotus,sp 1,1
9/15/2017,4CE,September,monsoon,2017,4,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,1
10/15/2017,4CE,October,monsoon,2017,4,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,3
11/15/2017,4CE,November,,2017,4,Ambient,Unclipped,Hymenoptera,Camponotus,sp 3,1
5/15/2017,4CW,May,,2017,4,Ambient,Clipped,Hymenoptera,Camponotus,sp 3,1
6/15/2017,4CW,June,,2017,4,Ambient,Clipped,Hymenoptera,Camponotus,sp 1,1
6/15/2017,4CW,June,,2017,4,Ambient,Clipped,Hymenoptera,Camponotus,sp 3,1
7/15/2017,4CW,July,,2017,4,Ambient,Clipped,Hymenoptera,Camponotus,sp 4,1
9/15/2017,4CW,September,monsoon,2017,4,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
5/15/2017,4IRE,May,,2017,4,Wet,Clipped,Hymenoptera,Camponotus,sp 4,3
8/15/2017,4IRE,August,monsoon,2017,4,Wet,Clipped,Hymenoptera,Camponotus,sp 3,2
9/15/2017,4IRW,September,monsoon,2017,4,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,5
9/15/2017,4ROW,September,monsoon,2017,4,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,5
9/15/2017,4ROW,September,monsoon,2017,4,Drought,Unclipped,Hymenoptera,Camponotus,sp 3,1
6/15/2017,5CE,June,,2017,5,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,1
10/15/2017,5CE,October,monsoon,2017,5,Ambient,Clipped,Hymenoptera,Camponotus,sp 2,3
5/15/2017,5CW,May,,2017,5,Ambient,Unclipped,Hymenoptera,Camponotus,sp 4,3
5/15/2017,5CW,May,,2017,5,Ambient,Unclipped,Hymenoptera,Camponotus,sp 4,3
9/15/2017,5CW,September,monsoon,2017,5,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,3
10/15/2017,5CW,October,monsoon,2017,5,Ambient,Unclipped,Hymenoptera,Camponotus,sp 2,2
9/15/2017,5IRE,September,monsoon,2017,5,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,6
10/15/2017,5IRE,October,monsoon,2017,5,Wet,Unclipped,Hymenoptera,Camponotus,sp 2,4
6/15/2017,5IRW,June,,2017,5,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
9/15/2017,5IRW,September,monsoon,2017,5,Wet,Clipped,Hymenoptera,Camponotus,sp 2,2
10/15/2017,5IRW,October,monsoon,2017,5,Wet,Clipped,Hymenoptera,Camponotus,sp 2,1
2/15/2017,5ROE,February,,2017,5,Drought,Unclipped,Hymenoptera,Camponotus,,1
3/18/2017,5ROE,March,,2017,5,Drought,Unclipped,Hymenoptera,Camponotus,,3
7/15/2017,5ROE,July,,2017,5,Drought,Unclipped,Hymenoptera,Camponotus,sp 1,2
9/15/2017,5ROE,September,monsoon,2017,5,Drought,Unclipped,Hymenoptera,Camponotus,sp 2,3
