year,tx,genus,total_tx,habit,,,,,,,,,,,,,,,,
2017,Wet,Trachymyrmex,1,fungus cultivator,,,,,,,,,,,,,,,,
2018,Ambient,Acromyrmex,1,leaf-cutter/fungus cultivator,,,,,,,,,,,,,,,,
2018,Ambient,Aphaenogaster,1,seed-harvester,,,,,,,,,,,,,,,,
2018,Ambient,Camponotus,143,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Crematogaster,7,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Dorymyrmex,38,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Forelius,170,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Formica,58,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Monomorium,116,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Odontomachus,42,arthopod predator,,,,,,,,,,,,,,,,
2018,Ambient,Pheidole,126,seed-harvester,,,,,,,,,,,,,,,,
2018,Ambient,Pogonomyrmex,4,seed-harvester,,,,,,,,,,,,,,,,
2018,Ambient,Solenopsis,451,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Tetramorium,20,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Ambient,Wasmannia,4,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Acromyrmex,6,leaf-cutter/fungus cultivator,,,,,,,,,,,,,,,,
2018,Drought,Aphaenogaster,2,seed-harvester,,,,,,,,,,,,,,,,
2018,Drought,Camponotus,73,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Dorymyrmex,44,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Forelius,296,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Formica,13,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Monomorium,26,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Odontomachus,19,arthopod predator,,,,,,,,,,,,,,,,
2018,Drought,Pheidole,90,seed-harvester,,,,,,,,,,,,,,,,
2018,Drought,Solenopsis,151,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Tetramorium,74,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Drought,Wasmannia,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Acromyrmex,3,leaf-cutter/fungus cultivator,,,,,,,,,,,,,,,,
2018,Wet,Camponotus,122,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Crematogaster,3,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Dorymyrmex,61,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Forelius,174,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Formica,56,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Monomorium,313,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Odontomachus,75,arthopod predator,,,,,,,,,,,,,,,,
2018,Wet,Pheidole,63,seed-harvester,,,,,,,,,,,,,,,,
2018,Wet,Pogonomyrmex,4,seed-harvester,,,,,,,,,,,,,,,,
2018,Wet,Pseudomyrmex,1,seed-harvester,,,,,,,,,,,,,,,,
2018,Wet,Solenopsis,328,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Tetramorium,27,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2018,Wet,Wasmannia,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Aphaenogaster,1,seed-harvester,,,,,,,,,,,,,,,,
2019,Ambient,Camponotus,68,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Crematogaster,11,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Cyphomyrmex,1,fungus cultivator,,,,,,,,,,,,,,,,
2019,Ambient,Dorymyrmex,31,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Forelius,349,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Formica,57,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Linepithema,6,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Liometopum,4,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Messor,1,seed-harvester,,,,,,,,,,,,,,,,
2019,Ambient,Monomorium,133,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Novomessor,1,seed-harvester/scavenger,,,,,,,,,,,,,,,,
2019,Ambient,Odontomachus,26,arthopod predator,,,,,,,,,,,,,,,,
2019,Ambient,Pheidole,137,seed-harvester,,,,,,,,,,,,,,,,
2019,Ambient,Pogonomyrmex,11,seed-harvester,,,,,,,,,,,,,,,,
2019,Ambient,Solenopsis,508,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Tapinoma,17,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Temnothorax,2,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Ambient,Tetramorium,38,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Camponotus,55,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Crematogaster,3,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Cyphomyrmex,4,fungus cultivator,,,,,,,,,,,,,,,,
2019,Drought,Dorymyrmex,47,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Forelius,1207,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Formica,45,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Monomorium,3,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Myrmecocystus,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Novomessor,5,seed-harvester/scavenger,,,,,,,,,,,,,,,,
2019,Drought,Odontomachus,9,arthopod predator,,,,,,,,,,,,,,,,
2019,Drought,Pheidole,238,seed-harvester,,,,,,,,,,,,,,,,
2019,Drought,Pogonomyrmex,23,seed-harvester,,,,,,,,,,,,,,,,
2019,Drought,Solenopsis,513,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Stenamma,52,general forager,,,,,,,,,,,,,,,,
2019,Drought,Tapinoma,84,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Temnothorax,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Drought,Tetramorium,37,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Aphaenogaster,1,seed-harvester,,,,,,,,,,,,,,,,
2019,Wet,Camponotus,60,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Crematogaster,9,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Cyphomyrmex,1,fungus cultivator,,,,,,,,,,,,,,,,
2019,Wet,Dorymyrmex,71,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Forelius,406,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Formica,79,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Liometopum,1,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Monomorium,103,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Novomessor,1,seed-harvester/scavenger,,,,,,,,,,,,,,,,
2019,Wet,Odontomachus,19,arthopod predator,,,,,,,,,,,,,,,,
2019,Wet,Pheidole,122,seed-harvester,,,,,,,,,,,,,,,,
2019,Wet,Pogonomyrmex,17,seed-harvester,,,,,,,,,,,,,,,,
2019,Wet,Solenopsis,226,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Tapinoma,25,general forager/exudate-feeder,,,,,,,,,,,,,,,,
2019,Wet,Tetramorium,19,general forager/exudate-feeder,,,,,,,,,,,,,,,,
