"","ObsID","plotID","sampID","block","precip","clip","excl","date","cohort","no_germ","survival","died","tot_germination","surv_perc","year"
"62","62","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2018-04-14","1",2,1,7,8,0.125,"1"
"63","63","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2018-05-12","1",2,1,7,8,0.125,"1"
"64","64","1_Control","1_Control_Clipped_Total","1","Control","Clipped","Total","2018-06-15","1",2,1,7,8,0.125,"1"
"65","65","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-07-28","1",4,6,0,6,1,"1"
"66","66","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-08-04","1",4,6,0,6,1,"1"
"67","67","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-08-11","1",4,6,0,6,1,"1"
"68","68","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-08-18","1",4,6,0,6,1,"1"
"69","69","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-08-25","1",4,5,1,6,0.833333333333333,"1"
"70","70","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-09-01","1",4,5,1,6,0.833333333333333,"1"
"71","71","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-09-08","1",4,5,1,6,0.833333333333333,"1"
"72","72","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-09-15","1",4,5,1,6,0.833333333333333,"1"
"73","73","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-09-22","1",4,5,1,6,0.833333333333333,"1"
"74","74","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-09-29","1",4,5,1,6,0.833333333333333,"1"
"75","75","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2017-11-17","1",4,4,2,6,0.666666666666667,"1"
"76","76","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2018-02-04","1",4,4,2,6,0.666666666666667,"1"
"77","77","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2018-03-02","1",4,4,2,6,0.666666666666667,"1"
"78","78","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2018-04-14","1",4,4,2,6,0.666666666666667,"1"
"79","79","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2018-05-12","1",4,4,2,6,0.666666666666667,"1"
"80","80","1_Control","1_Control_Unclipped_Control","1","Control","Unclipped","Control","2018-06-15","1",4,4,2,6,0.666666666666667,"1"
"81","81","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-07-28","1",0,10,0,10,1,"1"
"82","82","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-08-04","1",0,10,0,10,1,"1"
"83","83","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-08-11","1",0,10,0,10,1,"1"
"84","84","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-08-18","1",0,10,0,10,1,"1"
"85","85","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-08-25","1",0,10,0,10,1,"1"
"86","86","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-09-01","1",0,9,1,10,0.9,"1"
"87","87","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-09-08","1",0,9,1,10,0.9,"1"
"88","88","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-09-15","1",0,9,1,10,0.9,"1"
"89","89","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-09-22","1",0,8,2,10,0.8,"1"
"90","90","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-09-29","1",0,7,3,10,0.7,"1"
"91","91","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2017-11-17","1",0,3,7,10,0.3,"1"
"92","92","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2018-02-04","1",0,3,7,10,0.3,"1"
"93","93","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2018-03-02","1",0,2,8,10,0.2,"1"
"94","94","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2018-04-14","1",0,2,8,10,0.2,"1"
"95","95","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2018-05-12","1",0,2,8,10,0.2,"1"
"96","96","1_Control","1_Control_Unclipped_Ants","1","Control","Unclipped","Ants","2018-06-15","1",0,1,9,10,0.1,"1"
"97","97","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-07-28","1",1,9,0,9,1,"1"
"98","98","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-08-04","1",1,9,0,9,1,"1"
"99","99","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-08-11","1",1,9,0,9,1,"1"
"100","100","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-08-18","1",1,9,0,9,1,"1"
"101","101","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-08-25","1",1,5,4,9,0.555555555555556,"1"
"102","102","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-09-01","1",1,3,6,9,0.333333333333333,"1"
"103","103","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-09-08","1",1,3,6,9,0.333333333333333,"1"
"104","104","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-09-15","1",1,2,7,9,0.222222222222222,"1"
"105","105","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-09-22","1",1,1,8,9,0.111111111111111,"1"
"106","106","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-09-29","1",1,1,8,9,0.111111111111111,"1"
"107","107","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2017-11-17","1",1,0,9,9,0,"1"
"108","108","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2018-02-04","1",1,0,9,9,0,"1"
"109","109","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2018-03-02","1",1,0,9,9,0,"1"
"110","110","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2018-04-14","1",1,0,9,9,0,"1"
"111","111","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2018-05-12","1",1,0,9,9,0,"1"
"112","112","1_Control","1_Control_Unclipped_Rodents","1","Control","Unclipped","Rodents","2018-06-15","1",1,0,9,9,0,"1"
"113","113","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-07-28","1",1,9,0,9,1,"1"
"114","114","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-08-04","1",1,9,0,9,1,"1"
"115","115","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-08-11","1",1,9,0,9,1,"1"
"116","116","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-08-18","1",1,9,0,9,1,"1"
"117","117","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-08-25","1",1,5,4,9,0.555555555555556,"1"
"118","118","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-09-01","1",1,4,5,9,0.444444444444444,"1"
"119","119","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-09-08","1",1,4,5,9,0.444444444444444,"1"
"120","120","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-09-15","1",1,3,6,9,0.333333333333333,"1"
"121","121","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-09-22","1",1,1,8,9,0.111111111111111,"1"
"122","122","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-09-29","1",1,1,8,9,0.111111111111111,"1"
"123","123","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2017-11-17","1",1,0,9,9,0,"1"
"124","124","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2018-02-04","1",1,0,9,9,0,"1"
"125","125","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2018-03-02","1",1,0,9,9,0,"1"
"126","126","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2018-04-14","1",1,0,9,9,0,"1"
"127","127","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2018-05-12","1",1,0,9,9,0,"1"
"128","128","1_Control","1_Control_Unclipped_Total","1","Control","Unclipped","Total","2018-06-15","1",1,0,9,9,0,"1"
"129","129","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-07-28","1",0,10,0,10,1,"1"
"130","130","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-08-04","1",0,10,0,10,1,"1"
"131","131","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-08-11","1",0,10,0,10,1,"1"
"132","132","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-08-18","1",0,10,0,10,1,"1"
"133","133","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-08-25","1",0,9,1,10,0.9,"1"
"134","134","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-09-01","1",0,7,3,10,0.7,"1"
"135","135","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-09-08","1",0,7,3,10,0.7,"1"
"136","136","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-09-15","1",0,7,3,10,0.7,"1"
"137","137","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-09-22","1",0,7,3,10,0.7,"1"
"138","138","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-09-29","1",0,6,4,10,0.6,"1"
"139","139","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2017-11-17","1",0,2,8,10,0.2,"1"
"140","140","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2018-02-04","1",0,2,8,10,0.2,"1"
"141","141","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2018-03-02","1",0,2,8,10,0.2,"1"
"142","142","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2018-04-14","1",0,2,8,10,0.2,"1"
"143","143","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2018-05-12","1",0,2,8,10,0.2,"1"
"144","144","1_RO","1_RO_Clipped_Control","1","RO","Clipped","Control","2018-06-15","1",0,2,8,10,0.2,"1"
"145","145","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-07-28","1",1,9,0,9,1,"1"
"146","146","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-08-04","1",1,9,0,9,1,"1"
"147","147","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-08-11","1",1,9,0,9,1,"1"
"148","148","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-08-18","1",1,7,2,9,0.777777777777778,"1"
"149","149","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-08-25","1",1,7,2,9,0.777777777777778,"1"
"150","150","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-09-01","1",1,7,2,9,0.777777777777778,"1"
"151","151","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-09-08","1",1,7,2,9,0.777777777777778,"1"
"152","152","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-09-15","1",1,6,3,9,0.666666666666667,"1"
"153","153","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-09-22","1",1,6,3,9,0.666666666666667,"1"
"154","154","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-09-29","1",1,6,3,9,0.666666666666667,"1"
"155","155","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2017-11-17","1",1,5,4,9,0.555555555555556,"1"
"156","156","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2018-02-04","1",1,5,4,9,0.555555555555556,"1"
"157","157","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2018-03-02","1",1,5,4,9,0.555555555555556,"1"
"158","158","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2018-04-14","1",1,5,4,9,0.555555555555556,"1"
"159","159","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2018-05-12","1",1,4,5,9,0.444444444444444,"1"
"160","160","1_RO","1_RO_Clipped_Ants","1","RO","Clipped","Ants","2018-06-15","1",1,3,6,9,0.333333333333333,"1"
"161","161","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-07-28","1",3,7,0,7,1,"1"
"162","162","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-08-04","1",3,7,0,7,1,"1"
"163","163","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-08-11","1",3,7,0,7,1,"1"
"164","164","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-08-18","1",3,7,0,7,1,"1"
"165","165","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-08-25","1",3,4,3,7,0.571428571428571,"1"
"166","166","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-09-01","1",3,4,3,7,0.571428571428571,"1"
"167","167","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-09-08","1",3,4,3,7,0.571428571428571,"1"
"168","168","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-09-15","1",3,4,3,7,0.571428571428571,"1"
"169","169","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-09-22","1",3,4,3,7,0.571428571428571,"1"
"170","170","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-09-29","1",3,2,5,7,0.285714285714286,"1"
"171","171","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2017-11-17","1",3,1,6,7,0.142857142857143,"1"
"172","172","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2018-02-04","1",3,1,6,7,0.142857142857143,"1"
"173","173","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2018-03-02","1",3,1,6,7,0.142857142857143,"1"
"174","174","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2018-04-14","1",3,1,6,7,0.142857142857143,"1"
"175","175","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2018-05-12","1",3,1,6,7,0.142857142857143,"1"
"176","176","1_RO","1_RO_Clipped_Rodents","1","RO","Clipped","Rodents","2018-06-15","1",3,1,6,7,0.142857142857143,"1"
"177","177","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-07-28","1",2,8,0,8,1,"1"
"178","178","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-08-04","1",2,8,0,8,1,"1"
"179","179","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-08-11","1",2,8,0,8,1,"1"
"180","180","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-08-18","1",2,8,0,8,1,"1"
"181","181","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-08-25","1",2,7,1,8,0.875,"1"
"182","182","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-09-01","1",2,7,1,8,0.875,"1"
"183","183","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-09-08","1",2,7,1,8,0.875,"1"
"184","184","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-09-15","1",2,7,1,8,0.875,"1"
"185","185","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-09-22","1",2,5,3,8,0.625,"1"
"186","186","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-09-29","1",2,5,3,8,0.625,"1"
"187","187","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2017-11-17","1",2,5,3,8,0.625,"1"
"188","188","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2018-02-04","1",2,3,5,8,0.375,"1"
"189","189","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2018-03-02","1",2,1,7,8,0.125,"1"
"190","190","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2018-04-14","1",2,0,8,8,0,"1"
"191","191","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2018-05-12","1",2,0,8,8,0,"1"
"192","192","1_RO","1_RO_Clipped_Total","1","RO","Clipped","Total","2018-06-15","1",2,0,8,8,0,"1"
"193","193","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-07-28","1",0,10,0,10,1,"1"
"194","194","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-08-04","1",0,10,0,10,1,"1"
"195","195","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-08-11","1",0,10,0,10,1,"1"
"196","196","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-08-18","1",0,10,0,10,1,"1"
"197","197","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-08-25","1",0,10,0,10,1,"1"
"198","198","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-09-01","1",0,10,0,10,1,"1"
"199","199","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-09-08","1",0,10,0,10,1,"1"
"200","200","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-09-15","1",0,10,0,10,1,"1"
"201","201","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-09-22","1",0,10,0,10,1,"1"
"202","202","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-09-29","1",0,10,0,10,1,"1"
"203","203","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2017-11-17","1",0,8,2,10,0.8,"1"
"204","204","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2018-02-04","1",0,8,2,10,0.8,"1"
"205","205","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2018-03-02","1",0,8,2,10,0.8,"1"
"206","206","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2018-04-14","1",0,7,3,10,0.7,"1"
"207","207","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2018-05-12","1",0,7,3,10,0.7,"1"
"208","208","1_RO","1_RO_Unclipped_Control","1","RO","Unclipped","Control","2018-06-15","1",0,7,3,10,0.7,"1"
"209","209","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-07-28","1",0,10,0,10,1,"1"
"210","210","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-08-04","1",0,10,0,10,1,"1"
"211","211","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-08-11","1",0,10,0,10,1,"1"
"212","212","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-08-18","1",0,10,0,10,1,"1"
"213","213","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-08-25","1",0,10,0,10,1,"1"
"214","214","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-09-01","1",0,10,0,10,1,"1"
"215","215","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-09-08","1",0,10,0,10,1,"1"
"216","216","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-09-15","1",0,10,0,10,1,"1"
"217","217","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-09-22","1",0,10,0,10,1,"1"
"218","218","1_RO","1_RO_Unclipped_Ants","1","RO","Unclipped","Ants","2017-09-29","1",0,10,0,10,1,"1"
